cell_id,lat,lon,elevation_ft,slope_deg,aspect_deg,aspect_cardinal,elevation_band,avy_slope,north_facing,terrain_risk_score,composite_risk_score,geopoint,geoshape
MBR-004599,41.071111,-106.209907,9105.0,18.1,227.0,SW,below_treeline,False,False,1,1,"41.071111,-106.209907","{""type"": ""Polygon"", ""coordinates"": [[[-106.21435185174381, 41.067777777213806], [-106.20546296284537, 41.067777777213806], [-106.20546296284537, 41.07444444388764], [-106.21435185174381, 41.07444444388764], [-106.21435185174381, 41.067777777213806]]]}"
MBR-004600,41.071111,-106.200926,9182.0,14.7,208.0,SW,below_treeline,False,False,1,1,"41.071111,-106.200926","{""type"": ""Polygon"", ""coordinates"": [[[-106.20537037025268, 41.067777777213806], [-106.19648148135424, 41.067777777213806], [-106.19648148135424, 41.07444444388764], [-106.20537037025268, 41.07444444388764], [-106.20537037025268, 41.067777777213806]]]}"
MBR-004601,41.071111,-106.191944,9202.0,21.4,177.0,S,below_treeline,False,False,1,1,"41.071111,-106.191944","{""type"": ""Polygon"", ""coordinates"": [[[-106.19638888876153, 41.067777777213806], [-106.18749999986309, 41.067777777213806], [-106.18749999986309, 41.07444444388764], [-106.19638888876153, 41.07444444388764], [-106.19638888876153, 41.067777777213806]]]}"
MBR-004602,41.071111,-106.182963,9191.0,15.2,132.0,SE,below_treeline,False,False,1,1,"41.071111,-106.182963","{""type"": ""Polygon"", ""coordinates"": [[[-106.18740740727038, 41.067777777213806], [-106.17851851837194, 41.067777777213806], [-106.17851851837194, 41.07444444388764], [-106.18740740727038, 41.07444444388764], [-106.18740740727038, 41.067777777213806]]]}"
MBR-004603,41.071111,-106.173981,9138.0,11.2,107.0,E,below_treeline,False,False,1,1,"41.071111,-106.173981","{""type"": ""Polygon"", ""coordinates"": [[[-106.17842592577924, 41.067777777213806], [-106.1695370368808, 41.067777777213806], [-106.1695370368808, 41.07444444388764], [-106.17842592577924, 41.07444444388764], [-106.17842592577924, 41.067777777213806]]]}"
MBR-004604,41.071111,-106.165,9095.0,3.8,119.0,SE,below_treeline,False,False,1,1,"41.071111,-106.165000","{""type"": ""Polygon"", ""coordinates"": [[[-106.1694444442881, 41.067777777213806], [-106.16055555538966, 41.067777777213806], [-106.16055555538966, 41.07444444388764], [-106.1694444442881, 41.07444444388764], [-106.1694444442881, 41.067777777213806]]]}"
MBR-004605,41.071111,-106.156019,9065.0,14.1,124.0,SE,below_treeline,False,False,1,1,"41.071111,-106.156019","{""type"": ""Polygon"", ""coordinates"": [[[-106.16046296279696, 41.067777777213806], [-106.15157407389852, 41.067777777213806], [-106.15157407389852, 41.07444444388764], [-106.16046296279696, 41.07444444388764], [-106.16046296279696, 41.067777777213806]]]}"
MBR-004606,41.071111,-106.147037,9055.0,22.5,179.0,S,below_treeline,False,False,1,1,"41.071111,-106.147037","{""type"": ""Polygon"", ""coordinates"": [[[-106.15148148130581, 41.067777777213806], [-106.14259259240737, 41.067777777213806], [-106.14259259240737, 41.07444444388764], [-106.15148148130581, 41.07444444388764], [-106.15148148130581, 41.067777777213806]]]}"
MBR-004607,41.071111,-106.138056,9056.0,16.0,179.0,S,below_treeline,False,False,1,1,"41.071111,-106.138056","{""type"": ""Polygon"", ""coordinates"": [[[-106.14249999981467, 41.067777777213806], [-106.13361111091623, 41.067777777213806], [-106.13361111091623, 41.07444444388764], [-106.14249999981467, 41.07444444388764], [-106.14249999981467, 41.067777777213806]]]}"
MBR-004608,41.071111,-106.129074,9048.0,15.4,135.0,SE,below_treeline,False,False,1,1,"41.071111,-106.129074","{""type"": ""Polygon"", ""coordinates"": [[[-106.13351851832353, 41.067777777213806], [-106.12462962942509, 41.067777777213806], [-106.12462962942509, 41.07444444388764], [-106.13351851832353, 41.07444444388764], [-106.13351851832353, 41.067777777213806]]]}"
MBR-004609,41.071111,-106.120093,9005.0,11.5,112.0,E,below_treeline,False,False,1,1,"41.071111,-106.120093","{""type"": ""Polygon"", ""coordinates"": [[[-106.12453703683238, 41.067777777213806], [-106.11564814793394, 41.067777777213806], [-106.11564814793394, 41.07444444388764], [-106.12453703683238, 41.07444444388764], [-106.12453703683238, 41.067777777213806]]]}"
MBR-004610,41.071111,-106.111111,8969.0,10.7,118.0,SE,below_treeline,False,False,1,1,"41.071111,-106.111111","{""type"": ""Polygon"", ""coordinates"": [[[-106.11555555534123, 41.067777777213806], [-106.10666666644279, 41.067777777213806], [-106.10666666644279, 41.07444444388764], [-106.11555555534123, 41.07444444388764], [-106.11555555534123, 41.067777777213806]]]}"
